Title,Brand,MRP,Price,Count of Ratings,Count of Reviews,Average Rating Score,Product URL,Image URL
Croma 127 cm (50 inch) 4K Ultra HD LED Smart WebOS TV (2022 model),Croma,28990,60000,31,32,4.5,https://www.croma.com/croma-127-cm-50-inch-4k-ultra-hd-led-smart-webos-tv-2022-model-/p/251388,https://media.croma.com/image/upload/v1664411764/Croma%20Assets/Entertainment/Television/Images/251388_0_hz5pqn.png
Croma 140 cm (55 inch) 4K Ultra HD LED WebOS TV (2022 model),Croma,32990,75000,17,20,4.2,https://www.croma.com/croma-140-cm-55-inch-4k-ultra-hd-led-webos-tv-2022-model-/p/251389,https://media.croma.com/image/upload/v1663783174/Croma%20Assets/Entertainment/Television/Images/251389_0_ek54hr.png
OnePlus 50Y1S Pro 126cm (50 inch) 4K Ultra HD LED Android TV with Gamma Engine,OnePlus,30999,45999,3,3,5.0,https://www.croma.com/oneplus-50y1s-pro-126cm-50-inch-4k-ultra-hd-led-android-tv-with-gamma-engine/p/270720,https://media.croma.com/image/upload/v1683557853/Croma%20Assets/Entertainment/Television/Images/270720_0_uyw1wo.png
SAMSUNG Crystal 4K Neo 108 cm (43 inch) 4K Ultra HD LED Tizen TV with Voice Assistance (2022 model),Samsung,31990,47900,4,4,4.75,https://www.croma.com/samsung-crystal-4k-neo-108-cm-43-inch-4k-ultra-hd-led-tizen-tv-with-voice-assistance-2022-model-/p/256071,https://media.croma.com/image/upload/v1678973281/Croma%20Assets/Entertainment/Television/Images/256071_0_gzaplj.png
acer Advanced I Series 139 cm (55 inch) 4K Ultra HD LED Google TV with Dolby Vision and Dolby Audio (2023 model),Acer,33999,59999,0,0,0.0,https://www.croma.com/acer-advanced-i-series-139-cm-55-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-and-dolby-audio-2023-model-/p/274277,https://media.croma.com/image/upload/v1689228206/Croma%20Assets/Entertainment/Television/Images/274277_vswvkw.png
OnePlus Y1S Pro 138 cm (55 inch) 4K Ultra HD LED Android TV with Built-in Google Assistant (2022 model),OnePlus,37999,49999,3,3,4.3333333333,https://www.croma.com/oneplus-y1s-pro-138-cm-55-inch-4k-ultra-hd-led-android-tv-with-built-in-google-assistant-2022-model-/p/265598,https://media.croma.com/image/upload/v1683558577/Croma%20Assets/Entertainment/Television/Images/265598_0_xllhhw.png
Compaq HUEQ A 109 cm (43 inch) 4K Ultra HD LED WebOS TV with Dolby Audio (2022 model),Compaq,18299,30999,0,0,0.0,https://www.croma.com/compaq-hueq-a-109-cm-43-inch-4k-ultra-hd-led-webos-tv-with-dolby-audio-2022-model-/p/272118,https://media.croma.com/image/upload/v1681816343/Croma%20Assets/Entertainment/Television/Images/272118_uqex3d.png
OnePlus Y1S Pro 109cm (43 Inch) 4K Ultra HD LED Android TV with Gamma Engine,OnePlus,26999,29999,1,1,5.0,https://www.croma.com/oneplus-y1s-pro-109cm-43-inch-4k-ultra-hd-led-android-tv-with-gamma-engine/p/251311,https://media.croma.com/image/upload/v1688576702/Croma%20Assets/Entertainment/Television/Images/251311_0_qkrerl.png
acer Advanced I Series 109 cm (43 inch) 4K Ultra HD LED Google TV with Dolby Vision and Dolby Audio (2023 model),Acer,24999,39999,0,0,0.0,https://www.croma.com/acer-advanced-i-series-109-cm-43-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-and-dolby-audio-2023-model-/p/274275,https://media.croma.com/image/upload/v1687506675/Croma%20Assets/Entertainment/Television/Images/274275_pjtpmv.png
SANSUI 127 cm (50 inch) 4K Ultra HD LED Android TV with Dolby Atmos,Sansui,27990,56790,0,0,0.0,https://www.croma.com/sansui-127-cm-50-inch-4k-ultra-hd-led-android-tv-with-dolby-atmos/p/267414,https://media.croma.com/image/upload/v1683558357/Croma%20Assets/Entertainment/Television/Images/267414_0_vgwh8h.png
SAMSUNG Crystal 4K 138 cm (55 inch) 4K Ultra HD LED Tizen Smart TV (2021 model),Samsung,44990,69900,3,3,5.0,https://www.croma.com/samsung-crystal-4k-138-cm-55-inch-4k-ultra-hd-led-tizen-smart-tv-2021-model-/p/252331,https://media.croma.com/image/upload/v1664197154/Croma%20Assets/Entertainment/Television/Images/252331_0_n2truk.png
LG UQ80 139 cm (55 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG,49990,84990,3,3,5.0,https://www.croma.com/lg-uq80-139-cm-55-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/259359,https://media.croma.com/image/upload/v1677652375/Croma%20Assets/Entertainment/Television/Images/259359_0_stcrro.png
SAMSUNG Crystal 4K 108 cm (43 inch) 4K Ultra HD LED Tizen TV (2021 model),Samsung,29990,52900,5,5,2.6,https://www.croma.com/samsung-crystal-4k-108-cm-43-inch-4k-ultra-hd-led-tizen-tv-2021-model-/p/252329,https://media.croma.com/image/upload/v1680264987/252329_0_zqnpva.png
SONY X75L 139 cm (55 inch) 4K Ultra HD LED Android TV with Dynamic Contrast Enhancer (2023 model),Sony,65540,99900,0,0,0.0,https://www.croma.com/sony-x75l-139-cm-55-inch-4k-ultra-hd-led-android-tv-with-dynamic-contrast-enhancer-2023-model-/p/272770,https://media.croma.com/image/upload/v1689156379/Croma%20Assets/Entertainment/Television/Images/272770_0_fn4ygw.png
Compaq HUEQ A 126 cm (50 inch) 4K Ultra HD webOS TV with Dolby Audio (2022 model),Compaq,23499,40999,0,0,0.0,https://www.croma.com/compaq-hueq-a-126-cm-50-inch-4k-ultra-hd-webos-tv-with-dolby-audio-2022-model-/p/272119,https://media.croma.com/image/upload/v1681817933/Croma%20Assets/Entertainment/Television/Images/272119_q8le4g.png
SONY X75L 108 cm (43 inch) 4K Ultra HD LED Android TV with Dolby Audio (2023 model),Sony,48440,69900,0,0,0.0,https://www.croma.com/sony-x75l-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-dolby-audio-2023-model-/p/272257,https://media.croma.com/image/upload/v1688576898/Croma%20Assets/Entertainment/Television/Images/272257_0_hpo8zz.png
SAMSUNG Crystal 4K iSmart 108 cm (43 inch) 4K Ultra HD LED Tizen TV with Crystal Processor 4K,Samsung,30990,52900,0,0,0.0,https://www.croma.com/samsung-crystal-4k-ismart-108-cm-43-inch-4k-ultra-hd-led-tizen-tv-with-crystal-processor-4k/p/274146,https://media.croma.com/image/upload/v1688709053/Croma%20Assets/Entertainment/Television/Images/274146_jx7asa.png
LG UQ75 139 cm (55 inch) 4K Ultra HD LED WebOS TV with AI Brightness & 4K Upscaling,LG,41990,71990,0,0,0.0,https://www.croma.com/lg-uq75-139-cm-55-inch-4k-ultra-hd-led-webos-tv-with-ai-brightness-4k-upscaling/p/274581,https://media.croma.com/image/upload/v1688462717/Croma%20Assets/Entertainment/Television/Images/274581_giolig.png
acer Advanced I Series 127 cm (50 inch) 4K Ultra HD LED Google TV with Dolby Vision (2023 model),Acer,30999,49999,0,0,0.0,https://www.croma.com/acer-advanced-i-series-127-cm-50-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-2023-model-/p/274276,https://media.croma.com/image/upload/v1687507201/Croma%20Assets/Entertainment/Television/Images/274276_r3vime.png
acer I Series 164 cm (65 inch) 4K Ultra HD LED Android TV with Dolby Vision (2023 model),Acer,47999,78990,0,0,0.0,https://www.croma.com/acer-i-series-164-cm-65-inch-4k-ultra-hd-led-android-tv-with-dolby-vision-2023-model-/p/274011,https://media.croma.com/image/upload/v1686970778/Croma%20Assets/Entertainment/Television/Images/274011_igphmv.png
FOXSKY 140 cm (55 inch) 4K Ultra HD LED Android TV with Google Assistant (2021 model),Foxsky,26499,97990,2,2,4.0,https://www.croma.com/foxsky-140-cm-55-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2021-model-/p/258797,https://media.croma.com/image/upload/v1664430914/Croma%20Assets/Entertainment/Television/Images/258797_0_quhc84.png
Xiaomi X Pro Series 108 cm (43 inch) 4K Ultra HD LED Google TV with Dolby Vision and Dolby Atmos,Xiaomi,32999,49999,0,0,0.0,https://www.croma.com/xiaomi-x-pro-series-108-cm-43-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-and-dolby-atmos/p/271809,https://media.croma.com/image/upload/v1688579585/Croma%20Assets/Entertainment/Television/Images/271809_0_g672ug.png
SONY X82L 138.8 cm (55 inch) 4K Ultra HD LED Google TV with Live Colour Technology (2023 model),Sony,85490,129900,0,0,0.0,https://www.croma.com/sony-x82l-138-8-cm-55-inch-4k-ultra-hd-led-google-tv-with-live-colour-technology-2023-model-/p/273719,https://media.croma.com/image/upload/v1689154711/Croma%20Assets/Entertainment/Television/Images/273719_0_wpaugi.png
SONY X75L 126 cm (50 inch) 4K Ultra HD Android TV with X-Reality PRO (2023 model),Sony,60790,85900,0,0,0.0,https://www.croma.com/sony-x75l-126-cm-50-inch-4k-ultra-hd-android-tv-with-x-reality-pro-2023-model-/p/272255,https://media.croma.com/image/upload/v1688576861/Croma%20Assets/Entertainment/Television/Images/272255_0_jblm5d.png
KODAK 7XPRO Series 108 cm (43 inch) 4K Ultra HD LED Android TV with Google Assistant (2021 model),Kodak,19999,33999,14,15,3.0,https://www.croma.com/kodak-7xpro-series-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2021-model-/p/259829,https://media.croma.com/image/upload/v1664425968/Croma%20Assets/Entertainment/Television/Images/259829_0_vuwz6s.png
SAMSUNG LS Frame Series 138 cm (55 inch) QLED 4K Ultra HD Tizen TV with Alexa Compatibility,Samsung,86990,144900,18,18,4.6111111111,https://www.croma.com/samsung-ls-frame-series-138-cm-55-inch-qled-4k-ultra-hd-tizen-tv-with-alexa-compatibility/p/251981,https://media.croma.com/image/upload/v1663784588/Croma%20Assets/Entertainment/Television/Images/251981_0_liskqm.png
KODAK CA-Pro 126 cm (50 inch) 4K Ultra HD LED Google TV with Dolby Vision and Dolby Atmos,Kodak,27999,41999,0,0,0.0,https://www.croma.com/kodak-ca-pro-126-cm-50-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-and-dolby-atmos/p/274377,https://media.croma.com/image/upload/v1688141137/Croma%20Assets/Entertainment/Television/Images/274377_set9um.png
Croma 140 cm (55 inch) 4K Ultra HD LED Google TV with Bezel Less Display (2023 model),Croma,41990,75000,0,0,0.0,https://www.croma.com/croma-140-cm-55-inch-4k-ultra-hd-led-google-tv-with-bezel-less-display-2023-model-/p/273730,https://media.croma.com/image/upload/v1688131046/Croma%20Assets/Entertainment/Television/273730_bndsw0.png
SAMSUNG iSmart 124 cm (50 inch) 4K Ultra HD LED Tizen TV with Alexa Compatibility,Samsung,43990,61900,0,0,0.0,https://www.croma.com/samsung-ismart-124-cm-50-inch-4k-ultra-hd-led-tizen-tv-with-alexa-compatibility/p/273686,https://media.croma.com/image/upload/v1685618558/Croma%20Assets/Entertainment/Television/Images/273686_jc9sda.png
